Sequences re-analyzed from Wang et al. 2010 doi: 10.1007/s12275-010-0151-5,,,,,,,
Sample,Clone ID,Domain,Phylum,Class,Order,Family,Genus
WS0505,GU983423.1,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,uncultured,uncultured_ge
WS0505,GU983431.1,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,uncultured,uncultured_ge
WS0505,GU983404.1,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,uncultured,uncultured_ge
WS0505,GU983405.1,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,uncultured,uncultured_ge
WS0505,GU983416.1,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,uncultured,uncultured_ge
WS0505,GU983394.1,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,uncultured
WS0505,GU983420.1,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriales_unclassified,Flavobacteriales_unclassified
WS0505,GU983407.1,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured
WS0505,GU983427.1,Bacteria,Chloroflexi,Dehalococcoidia,S085,S085_fa,S085_ge
WS0505,GU983393.1,Bacteria,Dadabacteria,Dadabacteriia,Dadabacteriales,Dadabacteriales_fa,Dadabacteriales_ge
WS0505,GU983399.1,Bacteria,Dadabacteria,Dadabacteriia,Dadabacteriales,Dadabacteriales_fa,Dadabacteriales_ge
WS0505,GU983414.1,Bacteria,Dependentiae,Babeliae,Babeliales,Babeliales_unclassified,Babeliales_unclassified
WS0505,GU983433.1,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,Vermiphilaceae_ge
WS0505,GU983417.1,Bacteria,Gemmatimonadota,BD2-11_terrestrial_group,BD2-11_terrestrial_group_or,BD2-11_terrestrial_group_fa,BD2-11_terrestrial_group_ge
WS0505,GU983422.1,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,uncultured
WS0505,GU983402.1,Bacteria,Gemmatimonadota,PAUC43f_marine_benthic_group,PAUC43f_marine_benthic_group_or,PAUC43f_marine_benthic_group_fa,PAUC43f_marine_benthic_group_ge
WS0505,GU983429.1,Bacteria,Methylomirabilota,Methylomirabilia,Methylomirabilales,Methylomirabilaceae,wb1-A12
WS0505,GU983413.1,Bacteria,Myxococcota,bacteriap25,bacteriap25_or,bacteriap25_fa,bacteriap25_ge
WS0505,GU983426.1,Bacteria,Myxococcota,bacteriap25,bacteriap25_or,bacteriap25_fa,bacteriap25_ge
WS0505,GU983434.1,Bacteria,Myxococcota,bacteriap25,bacteriap25_or,bacteriap25_fa,bacteriap25_ge
WS0505,GU983437.1,Bacteria,Myxococcota,Myxococcota_unclassified,Myxococcota_unclassified,Myxococcota_unclassified,Myxococcota_unclassified
WS0505,GU983392.1,Bacteria,NB1-j,NB1-j_cl,NB1-j_or,NB1-j_fa,NB1-j_ge
WS0505,GU983397.1,Bacteria,NB1-j,NB1-j_cl,NB1-j_or,NB1-j_fa,NB1-j_ge
WS0505,GU983401.1,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,Nitrospina
WS0505,GU983411.1,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
WS0505,GU983428.1,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
WS0505,GU983391.1,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified
WS0505,GU983432.1,Bacteria,Proteobacteria,Alphaproteobacteria,AT-s3-44,AT-s3-44_fa,AT-s3-44_ge
WS0505,GU983406.1,Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,uncultured,uncultured_ge
WS0505,GU983430.1,Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,uncultured,uncultured_ge
WS0505,GU983415.1,Bacteria,Proteobacteria,Alphaproteobacteria,Kiloniellales,Kiloniellaceae,uncultured
WS0505,GU983398.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,uncultured
WS0505,GU983418.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospiraceae,uncultured
WS0505,GU983425.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospiraceae,uncultured
WS0505,GU983409.1,Bacteria,Proteobacteria,Gammaproteobacteria,AT-s2-59,AT-s2-59_fa,AT-s2-59_ge
WS0505,GU983408.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Nitrosomonadaceae_unclassified
WS0505,GU983403.1,Bacteria,Proteobacteria,Gammaproteobacteria,EPR3968-O8a-Bc78,EPR3968-O8a-Bc78_fa,EPR3968-O8a-Bc78_ge
WS0505,GU983438.1,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified
WS0505,GU983410.1,Bacteria,Proteobacteria,Gammaproteobacteria,JTB23,JTB23_fa,JTB23_ge
WS0505,GU983421.1,Bacteria,Proteobacteria,Gammaproteobacteria,MBMPE27,MBMPE27_fa,MBMPE27_ge
WS0505,GU983396.1,Bacteria,Proteobacteria,Gammaproteobacteria,Nitrosococcales,Nitrosococcaceae,AqS1
WS0505,GU983395.1,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia
WS0505,GU983400.1,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia
WS0505,GU983419.1,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia
WS0505,GU983435.1,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia
WS0505,GU983390.1,Bacteria,SAR324_clade(Marine_group_B,SAR324_clade(Marine_group_B,SAR324_clade(Marine_group_B,SAR324_clade(Marine_group_B,SAR324_clade(Marine_group_B
WS0505,GU983412.1,Bacteria,SAR324_clade(Marine_group_B,SAR324_clade(Marine_group_B,SAR324_clade(Marine_group_B,SAR324_clade(Marine_group_B,SAR324_clade(Marine_group_B
WS0505,GU983424.1,Bacteria,SAR324_clade(Marine_group_B,SAR324_clade(Marine_group_B,SAR324_clade(Marine_group_B,SAR324_clade(Marine_group_B,SAR324_clade(Marine_group_B
WS0505,GU983436.1,Bacteria,SAR324_clade(Marine_group_B,SAR324_clade(Marine_group_B,SAR324_clade(Marine_group_B,SAR324_clade(Marine_group_B,SAR324_clade(Marine_group_B
E2005-01,GU983471.1,Bacteria,Acidobacteriota,Subgroup_21,Subgroup_21_or,Subgroup_21_fa,Subgroup_21_ge
E2005-01,GU983477.1,Bacteria,Acidobacteriota,Subgroup_21,Subgroup_21_or,Subgroup_21_fa,Subgroup_21_ge
E2005-01,GU983483.1,Bacteria,Acidobacteriota,Subgroup_22,Subgroup_22_or,Subgroup_22_fa,Subgroup_22_ge
E2005-01,GU983456.1,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,uncultured,uncultured_ge
E2005-01,GU983472.1,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,uncultured,uncultured_ge
E2005-01,GU983474.1,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,uncultured,uncultured_ge
E2005-01,GU983448.1,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,uncultured
E2005-01,GU983450.1,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacteriaceae_unclassified
E2005-01,GU983455.1,Bacteria,Chloroflexi,Dehalococcoidia,S085,S085_fa,S085_ge
E2005-01,GU983467.1,Bacteria,Dadabacteria,Dadabacteriia,Dadabacteriales,Dadabacteriales_fa,Dadabacteriales_ge
E2005-01,GU983468.1,Bacteria,Dadabacteria,Dadabacteriia,Dadabacteriales,Dadabacteriales_fa,Dadabacteriales_ge
E2005-01,GU983442.1,Bacteria,Dependentiae,Babeliae,Babeliales,UBA12411,UBA12411_ge
E2005-01,GU983470.1,Bacteria,Gemmatimonadota,BD2-11_terrestrial_group,BD2-11_terrestrial_group_or,BD2-11_terrestrial_group_fa,BD2-11_terrestrial_group_ge
E2005-01,GU983452.1,Bacteria,Gemmatimonadota,PAUC43f_marine_benthic_group,PAUC43f_marine_benthic_group_or,PAUC43f_marine_benthic_group_fa,PAUC43f_marine_benthic_group_ge
E2005-01,GU983453.1,Bacteria,Gemmatimonadota,PAUC43f_marine_benthic_group,PAUC43f_marine_benthic_group_or,PAUC43f_marine_benthic_group_fa,PAUC43f_marine_benthic_group_ge
E2005-01,GU983460.1,Bacteria,Gemmatimonadota,PAUC43f_marine_benthic_group,PAUC43f_marine_benthic_group_or,PAUC43f_marine_benthic_group_fa,PAUC43f_marine_benthic_group_ge
E2005-01,GU983444.1,Bacteria,Methylomirabilota,Methylomirabilia,Methylomirabilales,Methylomirabilaceae,wb1-A12
E2005-01,GU983475.1,Bacteria,Myxococcota,bacteriap25,bacteriap25_or,bacteriap25_fa,bacteriap25_ge
E2005-01,GU983476.1,Bacteria,Myxococcota,bacteriap25,bacteriap25_or,bacteriap25_fa,bacteriap25_ge
E2005-01,GU983449.1,Bacteria,NB1-j,NB1-j_cl,NB1-j_or,NB1-j_fa,NB1-j_ge
E2005-01,GU983465.1,Bacteria,NB1-j,NB1-j_cl,NB1-j_or,NB1-j_fa,NB1-j_ge
